Store Name (EN),Store Name (AR),Reason Not Eligible,Industry,Potential,Potential Score,Website,Emails,Phone Numbers,WhatsApp,Instagram,Twitter/X,TikTok,Snapchat,Categories,Online Presence,On Tabby,On Tamara,Tabby Directory Link,BNPL Services,Website Status,Description
Meras,Meras,Healthcare / clinic services,Healthcare Services (Clinics),High,80,https://merasmed.com/ar,meras@merasmed.com,,,,meras_med,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/meras-01890d36-7d47-3835-96d1-6a2e0b9ec72f,"paymentLink, split-in-4",ok,
Motion Academy,Motion Academy,Education / training services,Education & Training,High,80,https://salla.sa/motion-academy,info@motionacademy.org,"+966503695728, 966503695728",,,,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/motion-academy-018953ad-6a1f-d947-20b1-275c9ca5de89,"paymentLink, split-in-4",ok,
Nawaf i a Alothman,نواف العثمان,Education / training services,Education & Training,High,80,https://nawafalothman.com,nawaf.glt@gmail.com,00966580702878,,,,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/nawaf-i-a-alothman-01932199-d808-1c75-a81b-dde58865ceee,"paymentLink, split-in-4",ok,
New Look Clinic,عيادات نيو لوك,Healthcare / clinic services,Healthcare Services (Clinics),High,80,https://newlook-clinic.com,newlookclinic50@gmail.com,920013676,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/new-look-clinic-018b7a27-8195-60bf-6677-558acc595f3a,"paymentLink, split-in-4",ok,Strongest service offers at New Look Clinics
Ni- Fresh meat,ني- لحوم طازجة,Restaurant / food service,Food Service & Restaurants,High,80,https://salla.sa/niksa1,info@ni-ksa.com,+966543567007,,,,,,Restaurants,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/ny-_-ni-0192f5ec-0f68-4e2a-6036-2bd6649e5d96,"paymentLink, split-in-4",ok,
No.Diet Clinic,No.Diet Clinic,Healthcare / clinic services,Healthcare Services (Clinics),High,80,https://nodiet.clinic,care@nodiet.clinic,,,https://instagram.com/nodiet,nodiet,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/no-diet-clinic-01895325-ac68-8838-83d2-4a3fb33507f7,"paymentLink, split-in-4",ok,
OptiTrader Academy,OptiTrader Academy,Education / training services,Education & Training,High,80,https://optitrader2030.com,optitraderacademy@gmail.com,+966581474595,,,,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/mwss-hbwb-lryhyn-ltjry-0193f0c8-9b38-6755-5a99-47efa757bbfb,"paymentLink, split-in-4",ok,
Origin of Change Energy Foundation,مؤسسة أصل التغيير للطاقة,Salon & spa services,Beauty Services (Salons & Spas),High,80,https://salla.sa/origin.change,oaos.originchange@gmail.com,+966557202016,,,,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/origin-of-change-energy-foundation-01905934-10a3-759b-159b-20c2c6b56734,"paymentLink, split-in-4",ok,
PARSA COFFEE,متجر بارسا,Restaurant / food service,Food Service & Restaurants,High,80,https://parsacoffee.com,"frind61@outlook.sa, info@parsacoffee.com","+966537748612, +966552301754",,,,,,Restaurants,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/mw-ss-hdyl-ly-l-bdly-ltjry-01934fd9-eeac-acfa-924b-ac69953beae2,"paymentLink, split-in-4",ok,
Planets Travel,Planets Travel,Travel & tourism services,Travel & Tourism,High,80,https://planets-trv.com,"feedback@namecheap.com, you@yours.com",,,https://instagram.com/namecheap,namecheap,,,Travel,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/planets-travel-agency,"paymentLink, split-in-4",ok,We achieve all your goals in travel.
Quill,كويل,Education / training services,Education & Training,High,80,https://quilledu.com,info@quilledu.com,+966559120205,,,,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/mw-ss-mhmd-ydh-lryshy-ltjry-019379f6-c2b6-9c40-6569-73fd40d7bca0,"paymentLink, split-in-4",ok,
Royal Car care,رويال كار,Salon & spa services,Beauty Services (Salons & Spas),High,80,https://flow.page/royalcar,"dominic+enterpriseorg@flowdtx.com, dominic@flowcode.com, dominic@thedtxcompany.com, jordan.labellahillman@corcoran.com, lillian@flowcode.com, valencia.augustin@corcoran.com","0561828626, 05641494640, 966552831877",+966552831877,,,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/Royal-Car-care-018a9298-7559-2b30-895a-bcad4ebfaf08,"paymentLink, split-in-4",ok,Mobile car polishing and washing services.
Salsabil,Salsabil,Salon & spa services,Beauty Services (Salons & Spas),High,80,https://salsabilsa.com,info@salsabilsa.com,,,https://instagram.com/salsabil_ksa,salsabil_ksa,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/Salsabil-018e18f3-acd2-0637-6ba5-1c7b1097f3f7,"paymentLink, split-in-4",ok,Salsabeel for Water Treatment Technology offers the best home desalination products and centralized desalination solutions. We also provide chemical products for factories and organizations.
Smile Rising,Smile Rising,Healthcare / clinic services,Healthcare Services (Clinics),High,80,https://smilerising.com,"billing@smilerising.com, info@clinic.com, info@ramclinics.com, info@smilerising.com, privacy@smilerising.com","+966501234567, 0559146876, 920002100",,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/smile-rising-01890d36-7d48-08d0-fe22-ddcfcb538728,"paymentLink, split-in-4",ok,
Sweet moment,Sweet moment,Salon & spa services,Beauty Services (Salons & Spas),High,80,https://salla.sa/sweet_moment,nhassan081@gmail.com,+966500097170,,,,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/sweet-moment-0189533a-2953-6f1e-dbdb-f862620a760d,"paymentLink, split-in-4",ok,We strive to provide you with the best entertainment experiences.
TAARFU CENTER FOR FAMILY COUNSLING,مركز تعارفوا للإرشاد الأسري,Education / training services,Education & Training,High,80,https://taarfu.com,truf.2030@gmail.com,"+966504414082, +966550962391, 966112231396",,,,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/mrkz-t-rfw-llrshd-l-sry-0190b5a6-bc3a-fa09-ec25-968b30ce89c5,"paymentLink, split-in-4",ok,"A center specialized in providing psychological, social, educational and family counseling services according to scientific and professional foundations."
The LegendEducational Services Cente,The LegendEducational Services Cente,Education / training services,Education & Training,High,80,https://legendeducation.ae,info@legendeducation.ae,,,https://instagram.com/legendeducation,educationlegend,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/the-legend-educational-services-center,"paymentLink, split-in-4",ok,
Trueme,Trueme,Healthcare / clinic services,Healthcare Services (Clinics),High,80,https://trueme-store.com,truemeads@gmail.com,"+966553305050, 05465940000, 05958012085, 920033897, 966553305050",,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/trueme-01890d36-7d48-08d0-fe22-ddfaabf2bd0e,"paymentLink, split-in-4",ok,True Me Medical Complex
Uniform Plus,Uniform Plus,Healthcare / clinic services,Healthcare Services (Clinics),High,80,https://uniformplues.com,customercare@uniformplus.com.sa,"+966548361892, +966582001912",,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/uniform-plus,"paymentLink, split-in-4",ok,
Wahat mukamelat,واحة المكملات,Meal-plan / food subscription service,Food Service & Restaurants,High,80,https://wahatm.com,wahatm1@hotmail.com,"+966540422647, +966560680093, 966560680093",+966560680093,,,,,Meal plans,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/wahat-mukamelat-018b3887-a8ac-bfe0-95c8-40f9b7a66994,"paymentLink, split-in-4",ok,A wide range of dietary supplements
Zomra,زمرة,Travel & tourism services,Travel & Tourism,High,80,https://zomraonline.com,hello@zomra.sa,,,https://instagram.com/zomraonline,,zomraonline,,Travel,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/zomra-sau-01936d44-61a9-5506-17ac-b5ba5ec3344d,"paymentLink, split-in-4",ok,
,السياح العرب في فيتنام,Travel & tourism services,Travel & Tourism,High,80,https://arabvn.com,info@arabvn.com,"+966502169799, 8001110160, 966502169799",+966502169799,,,,,Travel,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/lsyh-l-rb-fy-fytnm-0192fbd7-fc19-3093-66d1-06d3e0ee5817,"paymentLink, split-in-4",ok,
,بيت الري للزراعة,Salon & spa services,Beauty Services (Salons & Spas),High,80,https://baitalrai.com,info@baitalrai.com,"00966556112575, 0509112575, 0550112575, 0551112575, 0555112575, 0556112575",,,,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/byt-alry-llzraah-01908c32-ab24-66c2-c2b6-14886e087813,"paymentLink, split-in-4",ok,"This merchant offers a diverse range of products across various categories, ensuring customers can find what they need. With a focus on quality and customer satisfaction, they provide an excellent sho"
,شركة المدينة للسمعيات,Healthcare / clinic services,Healthcare Services (Clinics),High,80,https://almadina.com.sa,info@almadina.com.sa,"05501170798, 966114751100, 966114787722",,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/shrk-lmdyn-llsm-yt-0191d54b-fdc3-4729-c7ee-c97e1b5c98d8,"paymentLink, split-in-4",ok,
,عتق ورقة,Education / training services,Education & Training,High,80,https://3tgwaragh.com,3tgwargh@gmail.com,966581748505,,,,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/mw-ss-tq-wrq-ltjry-0193ca9e-bd72-8db2-ece0-871daf04ba11,"paymentLink, split-in-4",ok,
,قصر الجمال الطبي,Healthcare / clinic services,Healthcare Services (Clinics),High,80,https://salla.sa/qssr-algmal,ownerbeautypalace@gmail.com,"+966112385319, +966552557304",,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/qsr-aljmal-altby-01895261-93ed-5b38-7946-091b8b50a861,"paymentLink, split-in-4",ok,"Dedicated to the finest details of care, specializing in Dental, Dermatological, Laser, and Cosmetic treatments."
,كفاءات الاعمال للتدريب,Education / training services,Education & Training,High,80,https://kafaat-store.com,info@kafaatsa.com,"+966175107347, +966554183027",,,,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/kfaaat-alaamal-lltdryb-018952c3-1c76-f1e0-3d32-b5a1be8890df,"paymentLink, split-in-4",ok,
,مؤسسة سطوع الشرق للسباكة والكهرباء,Salon & spa services,Beauty Services (Salons & Spas),High,80,https://satoaalsharq.com/ar,satoaalsharq@gmail.com,"+966538717462, +966558105117, 0538717462, 0553995375, 966558105117",,,,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/mussh-stwa-alshrq-llsbakh-walkhrbaa-018ea411-00c7-4f8e-8900-297e5c9c1ef9,"paymentLink, split-in-4",ok,"Sutooh Al Sharq Store for Plumbing and Electrical Supplies is a reliable destination for all your online plumbing and electrical needs. It combines quality, variety, and professional service to provid"
,مؤسسة عمر محمد ظيف الله العمرو للوازم الرحلات,Travel & tourism services,Travel & Tourism,High,80,https://alamrollrhlat.com,alamrostore2020@gmail.com,"+966507049009, +966556516000, 00966507049009, 0508656762, 966507049009",,,,,,Travel,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/alamro-camping-supplies,"paymentLink, split-in-4",ok,"A showroom specializing in supplies for land trips, hunting, and travel, including stoves, gas parts, tents, charcoal, firewood, sacrificial supplies, electricity, car refrigerators, and bag sewing."
,مؤسسة هيلثي اند تيستي السعودية للأغذية,Meal-plan / food subscription service,Food Service & Restaurants,High,80,https://healthyandtastyksa.com,wecare@healthyandtasty.net,"+966566325767, 920013187, 966566325767",,,,,,Meal plans,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/mw-ss-hylthy-nd-tysty-ls-wdy-ll-gdhy-018f95dd-a00c-69f1-e22d-5b957e9aac0f,"paymentLink, split-in-4",ok,"""KETO DIET -  PROTIEN - KETO BAR -Vegan - Low Carb Weight Loss -Organic -  Nutrition Meal Plans - NO ADD SUGAR - Without palm oil - LOW CARB - LOW FAT  """
,مجمع البدر الحديث,Healthcare / clinic services,Healthcare Services (Clinics),High,80,https://albadrmodern.com,marketing.albadr@gmail.com,"+966501323278, +966558598777",+966558598777,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/albadr-modern-complex,"paymentLink, split-in-4",ok,"Comprehensive healthcare, modern technologies, professional medical team. Quality of life starts here."
,مجمع صرح الطبي,Healthcare / clinic services,Healthcare Services (Clinics),High,80,https://salla.sa/sarh.medical,"sarh.medical@gmail.com, tickets@sarh-medical.p.tawk.email",+966595687748,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/mjm-srh-ltby-019357d4-39b8-6085-2389-9c49cf218623,"paymentLink, split-in-4",ok,
,مجمع عيادات دور السلام الطبي,Healthcare / clinic services,Healthcare Services (Clinics),High,80,https://duralsalam.com,support@duralsalam.com,+966115484549,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/mjma-ayadat-dwr-alslam-altby-018952c0-7e6b-a48d-3d9a-96cabbb2c1a3,"paymentLink, split-in-4",ok,Dor Al-Salam Medical Clinics Complex
,محمصة ابداع البن,Restaurant / food service,Food Service & Restaurants,High,80,https://coffeecte.com,coffeecreativity1@gmail.com,+966538400447,,,,,,Restaurants,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/mhms-bd-lbn-ltjry-01933b8a-8668-9405-c8c1-e48c15f9a06f,"paymentLink, split-in-4",ok,
,مركز الفنون للآلات الموسيقية,Entertainment / leisure services,Entertainment & Leisure,High,80,https://salla.sa/mrkz-alfnwn-,dignitary6386@gmail.com,+966537788037,,,,,,Entertainment,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/mrkz-alfnwn-llaalat-almwsyqyh-018d3676-b77f-32fa-496e-56fdaf41a82c,"paymentLink, split-in-4",ok,"This merchant offers a wide range of products across various categories, ensuring a diverse selection for customers. Their commitment to quality and customer satisfaction makes them a reliable choice "
,مركز تطوير الغد النسائي للتدريب,Education / training services,Education & Training,High,80,https://tatweercenter.net,info@tatweeralghad.com,0562245403,,,,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/mrkz-ttwyr-lgd-lnsy-y-lltdryb-01932076-acf3-a42f-b7a7-732dde6b7eee,"paymentLink, split-in-4",ok,
,مركز وحدة الجمال الطبي,Healthcare / clinic services,Healthcare Services (Clinics),High,80,https://salla.sa/whda-algmal-lttb-alasnan-,whda1412@gmail.com,+966534122229,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/mrkz-whdh-aljmal-altby-01895268-bc17-05d1-ae0a-171c4ca5e7e3,"paymentLink, split-in-4",ok,
,مطبعة التقنية للطباعة,Salon & spa services,Beauty Services (Salons & Spas),High,80,https://technoprinting.com,hello@technoprinting.com,+966506663711,,,,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/mtbah-altqnyh-lltbaah-01895236-e2f3-b9fb-77be-3a069578b144,"paymentLink, split-in-4",ok,Printing all your paper needs
,معهد البن للتدريب,Education / training services,Education & Training,High,80,https://salla.sa/ctijsa,ctijsa@outlook.sa,+966501151001,,,,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/m-hd-lbn-lltdryb-0192aa39-67a0-0b36-7901-33c9eb0a52c4,"paymentLink, split-in-4",ok,
,هاله غبان,Education / training services,Education & Training,High,80,https://hakayag.com,hakaya_g@hotmail.com,+966552183503,,,,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/mw-ss-hlh-lsbhy-01937a31-3446-6633-4adb-8f145bd27c3d,"paymentLink, split-in-4",ok,
,وكالة منطاد للسفر والسياحة,Travel & tourism services,Travel & Tourism,High,80,https://montad.com.sa,info@montad.com.sa,"+966920019941, 05000418400, 920019941, 966920019941",+966920019941,,,,,Travel,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/wkalh-mntad-llsfr-walsyahh-0189544e-d052-8da8-26ca-310a1710ab9b,"paymentLink, split-in-4",ok,"We offer airline tickets, hotel reservations, tour programs, honeymoon packages, and visa processing services at special prices."
5s for sand and soil stabilization solutions,5s for sand and soil stabilization solutions,Salon & spa services,Beauty Services (Salons & Spas),High,75,https://5s-techo.com,"sales@5s-tech.org, salesman@5s-tech.org","+966546492775, +966920034806, 966539096681, 966920034806",,,,,,Salons & Spas,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/5s-for-sand-and-soil-stabilization-solutions-018dca72-a8aa-6ccf-042b-a1ad160baef3,split-in-4,ok,Five S is a Saudi company specializing in soil and sand stabilization solutions. It is a part of Spa Trading and Contracting and is recognized as the first and leading company in the Gulf region and t
AFKAR WABTCAR Trading Company,AFKAR WABTCAR Trading Company,Salon & spa services,Beauty Services (Salons & Spas),High,75,https://iai.sa,iai@iai.sa,"+966533707292, +966552950708",+96655290708,,,,,Salons & Spas,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/afkar-wabtcar-trading-company-0190060b-20e2-2b94-212b-111bc7f25773,split-in-4,ok,"Discover our store, the best place for 3D printing filaments. We offer a wide variety of high-quality filaments in different colors and specifications."
Ahsaswtr,Ahsaswtr,Entertainment / leisure services,Entertainment & Leisure,High,75,https://salla.sa/ahsaswtr7,altarabalsaed.store@gmail.com,+966533208110,,,,,,Entertainment,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/ahsaswtr-018bebe8-16e8-e886-a02b-d09c832e5967,split-in-4,ok,Al-Dosari establishment specializes in selling all kinds of musical instruments in the Kingdom of Saudi Arabia.
Aj smile,Aj smile,Healthcare / clinic services,Healthcare Services (Clinics),High,75,https://ajsmile.com,"feedback@namecheap.com, you@yours.com",,,https://instagram.com/namecheap,namecheap,,,Clinics,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/aj-smile,split-in-4,ok,
AJYAL ALMUSTAQBAL,AJYAL ALMUSTAQBAL,Education / training services,Education & Training,High,75,https://ajyalz.com,almustaqbalajyal9@gmail.com,"+966502102161, +966505259035, +966555429512",+966505259035,,,,,Training & Courses,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/ajyal-almustaqbal-01911d61-e618-7c53-4b56-4ed9af551f8f,split-in-4,ok,"We specialize in establishing students and providing teachers with high expertise and competence, capable of engaging and interacting with students remotely."
al-danah al-kubri co,al-danah al-kubri co,Salon & spa services,Beauty Services (Salons & Spas),High,75,https://graldanah.com/ar,gr.aldanah@gmail.com,+966534099799,,,,,,Salons & Spas,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/al-danah-al-kubri-co-0189ac04-029d-e007-0e7d-eed28a9380c9,split-in-4,ok,"Al Dana Al Kubra store offers a range of genuine skincare products, perfumes, makeup, home essentials, and more."
Alaqsa Schools,مدارس الاقصى الاهليه بنات,Education / training services,Education & Training,High,75,https://alaqsa.edu.sa/home,info@alaqsa.edu.sa,920002340,,,,,,"Educational Services, خدمات تعليمية",Online store,,Yes,,,ok,
ALBADR DEVELOPED MEDICAL GROUP,ALBADR DEVELOPED MEDICAL GROUP,Healthcare / clinic services,Healthcare Services (Clinics),High,75,https://salla.sa/mgmwat-albdr-almttwr-alttbyet,mm2.albadr@gmail.com,"+966543016576, 920020611",,,,,,Clinics,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/albadr-developed-medical-group-018952be-3409-a42f-1591-c0449c3fee2d,split-in-4,ok,
Alenaya general medical group,Alenaya general medical group,Healthcare / clinic services,Healthcare Services (Clinics),High,75,https://enayahgroup.com,info@enayahgroup.com,+966564802322,,,,,,Clinics,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/alenaya-general-medical-group-018bf1b7-ac9e-3651-05e7-6571c114384b,split-in-4,ok,We are a comprehensive general medical complex dedicated to serving you across all departments. We offer 24-hour service in general medicine and emergency departments.
ALJANAH MEDICAL SAU,ALJANAH MEDICAL SAU,Healthcare / clinic services,Healthcare Services (Clinics),High,75,https://aljenahclinic.com,acc.5500@hotmail.com,"+966549123049, 05152401018, 966115000944",+966115000944,,,,,Clinics,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/aljanah-medical-sau-0189525f-7582-9752-aa7f-dd091ac087d9,split-in-4,ok,"An esteemed institution in comprehensive medical care, we strive to provide the best medical services to every individual, characterized by high professional competence and experience, commitment, att"
ALL ABOUT FASHION,ALL ABOUT FASHION,Education / training services,Education & Training,High,75,https://allaboutfashion-sa.com,all.about.fashionn@hotmail.com,+966559385815,,,,,,Training & Courses,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/all-about-fashion-018c3902-165d-a7c4-3c72-2c28463a3c3a,split-in-4,ok,"If fashion design is your dream and passion, with us, it will become a reality. Our goal is to be your success partners in building your career."
Almajd TV,Almajd TV,Salon & spa services,Beauty Services (Salons & Spas),High,75,https://store.almajdtv.com,care@almajdtv.com,+966112257777,+966112257777,,,,,Salons & Spas,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/almajd-tv-01890d36-7d43-08b9-4478-0aa400d63d74,split-in-4,ok,
ana anmo center,ana anmo center,Education / training services,Education & Training,High,75,https://salla.sa/mrkz-ana-anmw-llttfl,anaanmocenter@gmail.com,"+966540706133, 9665640706133",,,,,,Training & Courses,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/ana-anmo-center-018ad516-9f7d-3dc2-d984-e8520cb628fa,split-in-4,ok,
Antakaprint,Antakaprint,Salon & spa services,Beauty Services (Salons & Spas),High,75,https://antaka-print.com,support@antakaa.com,+966559866811,,,,,,Salons & Spas,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/antakaprint-018d5433-3ac3-3045-4877-f0b2e1fa84a3,split-in-4,ok,"A specialist site in all types of printing for large, medium, and small business owners. With more than 16 years of experience in our field, we offer our expertise at your disposal."
,arab design - عرب ديزاين,Salon & spa services,Beauty Services (Salons & Spas),High,75,https://arabf-design.com,arabf.design@gmail.com,+966563714083,,,,,,Salons & Spas,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/arab-design-arb-dyzayn-018952be-d088-4856-6473-d047b3a5417f,split-in-4,ok,
Areeb for kids,مركز أريب لرعاية الأطفال,Education / training services,Education & Training,High,75,https://salla.sa/areebforkids,info@areebcenter.com,+966541044556,,,,,,Training & Courses,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mrkz-ryb-lr-y-l-tfl-0192d215-e50c-f418-ca06-7b92d3b6e081,split-in-4,ok,
asansir,asansir,Salon & spa services,Beauty Services (Salons & Spas),High,75,https://salla.sa/asansir,asansir@silverline-sa.com,+966565185528,+966565185528,,,,,Salons & Spas,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/asansir-018b7b05-c94c-dd52-f069-0277355020b0,split-in-4,ok,"A website that provides installation, spare parts, and maintenance services for various types of elevators."
ASBAR,آسبار,Salon & spa services,Beauty Services (Salons & Spas),High,75,https://asbar-store.com,asbar.st@gmail.com,966570805709,,,,,,Salons & Spas,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/asbar,split-in-4,ok,
AUTHA,AUTHA,Entertainment / leisure services,Entertainment & Leisure,High,75,https://authaksa.com,info@authaksa.com,"+966503640908, 05000165000",,,,,,Entertainment,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/autha-018c7bd2-9898-2a90-196c-f7c94d5db55a,split-in-4,ok,A Saudi roastery aiming to elevate your distinguished taste with the highest quality standards.
AYAR7  medical Complex,AYAR7  medical Complex,Healthcare / clinic services,Healthcare Services (Clinics),High,75,https://salla.sa/ayar7.a?_gl=1*17ky3cw*_gcl_au*OTcyOTEwMTk4LjE3MDM2MDE1MTg.&expires=1703786504&identifier=84513521&signature=19a37dd91af96949e8596ec5afe7de2b6ff8b254ae0f1db9da1acf8f5cd43229,ayar7.a@gmail.com,+966553700680,,,,,,Clinics,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/ayar7-medical-complex-018cf7b9-3624-86d5-398d-003637192d4e,split-in-4,ok,
azad center training,azad center training,Education / training services,Education & Training,High,75,https://azadtrain.com,trainazad@gmail.com,"+966535598000, +966561123222, 966561123222",,,,,,Training & Courses,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/azad-center-training-01891a4b-945d-027e-7a71-51f1090e951d,split-in-4,ok,Azad Training Center - A center accredited by the General Organization for Vocational and Technical Training
bamzino,bamzino,Education / training services,Education & Training,High,75,https://bamzino.com,info@bamzino.com,"+966500604422, 0547929366, 966533340621",,,,,,Training & Courses,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/bamzino-018dea82-a23e-a98b-bf41-838d07728225,split-in-4,ok,"Bamzino is a childcare and recreational center dedicated to nurturing and developing children's personalities through activities and programs inspired by renowned educational principles, under the sup"
Barad hail Medical Complex,مجمع برد حائل الطبي,Healthcare / clinic services,Healthcare Services (Clinics),High,75,https://salla.sa/barad2018,baraddentals@gmail.com,+966555156849,,,,,,Clinics,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/barad-hail-medical-complex-0189a556-f145-bb9e-1a0e-13ee553f5e7b,split-in-4,ok,Specialists in dental clinics welcoming patients
Belahodoud Group,Belahodoud Group,Education / training services,Education & Training,High,75,https://belahodoud.com,belahodoud.group@gmail.com,"+966554030102, 05833525081",,,,,,Training & Courses,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/belahodoud-group-018952ba-e5d6-3b33-dbb2-474ce89ee248,split-in-4,ok,
Blue diamond,Blue diamond,Salon & spa services,Beauty Services (Salons & Spas),High,75,https://bluediamond-sa.com,bluediamondsa@hotmail.com,+966566628284,,,,,,Salons & Spas,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/blue-diamond-0189b0e8-88e6-44d6-0687-c592f07aa3d2,split-in-4,ok,
Brwaz,برواز,Healthcare / clinic services,Healthcare Services (Clinics),High,75,https://eyebrwaz.com,contact@eyebrwaz.com,"+966503998944, 966503998944, 966525717274",,,,,,Clinics,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/brwaz,split-in-4,ok,
BTM SA,BTM SA,Salon & spa services,Beauty Services (Salons & Spas),High,75,https://salla.sa/btm-2023,info@btm.sa,+966500585837,,,,,,Salons & Spas,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/btm-sa-018c8cae-7afd-5c11-8e7d-731d78f56a20,split-in-4,ok,A specialized store for selling car modification parts.
Business intelligence training center,مركز فكر الأعمال للتدريب,Education / training services,Education & Training,High,75,https://bit.sa,info@bit.sa,"+966507177365, +966554555808",+966507177365,,,,,Training & Courses,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/business-intelligence-training-center,split-in-4,ok,Business intelligence training center Towards real professional development
Business Model for Business Solutions,نموذج العمل لخدمات الأعمال,Salon & spa services,Beauty Services (Salons & Spas),High,75,https://bms.sa,info@bms.sa,"+966544421246, 00966544421246, 966544421246",+966544421246,,,,,Salons & Spas,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/business-model-for-business-solutions-0189cf1f-9371-3a0c-8842-24535245e4a8,split-in-4,ok,
Center Sahtak Tahmana For Nutrition,Center Sahtak Tahmana For Nutrition,Meal-plan / food subscription service,Food Service & Restaurants,High,75,https://salla.sa/sshtk-thmna-,sehatakthmna@gmail.com,+966509922781,,,,,,Meal plans,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/center-sahtak-tahmana-for-nutrition-019265a8-2a62-7b34-4c7a-d3a03db5ac33,split-in-4,ok,
